tokenID,name,description,file_name,attributes[BACKGROUND],attributes[BASE],attributes[SKIN],attributes[CLOTHES],attributes[EYES],attributes[MOUTH],attributes[HEAD]
1,Moze #1,Rooted in street art!,1.png,Tan,Moze,Leopard,Suit Up,Mummy Eyes,Chill Mouth,Green Ears
2,Moze #2,Rooted in street art!,2.png,Concrete,Moze,Hellheim Mark,Baseball Green Jacket,Looking At Eyes,Dragon Breath,Ear Socks
3,Moze #3,Rooted in street art!,3.png,Delusion,Moze,Doll,Nudist,X Eyes,Gold Teeth,Green Ears
4,Moze #4,Rooted in street art!,4.png,Station,Moze,Leopard,Tie,Superstar Eyes,Nyan Mouth,Checkerboard Ear
5,Moze #5,Rooted in street art!,5.png,Sunset,Moze,Hellheim Mark,Jail Punisher Suit,Superstar Eyes,Sad Mouth,Green Ears
6,Moze #6,Rooted in street art!,6.png,Purple,Moze,Justin Bieber Flame,Gray Sweater,Amazed Eyes,Dragon Breath,Green Ears
7,Moze #7,Rooted in street art!,7.png,Salmon,Moze,Justin Bieber Flame,Boxer Glove,Superstar Eyes,Cigar Mouth,Mullet Hair
8,Moze #8,Rooted in street art!,8.png,Strawberry,Moze,Blank,Blank,Pink Sparkly Eyes,Clown Mouth,Ear Socks
9,Moze #9,Rooted in street art!,9.png,Neon,Moze,Ifrit Jambe,Boxer Glove,Love Eyes,Plaster Mouth Close,Ear Socks
10,Moze #10,Rooted in street art!,10.png,Flaming Red,Moze,Justin Bieber Flame,Boxer Glove,Killer Eyes,Monsieur Cigs,Pink Blossom Hair
11,Moze #11,Rooted in street art!,11.png,Grey,Moze,Doll,Baseball Suit,X Eyes,Cigar Mouth,Pink Blossom Hair
12,Moze #12,Rooted in street art!,12.png,Ocean,Moze,Fire,Casual Blue Bear,Happy Eyes,Simple Smile Mouth,Mohawk Hair
13,Moze #13,Rooted in street art!,13.png,Army,Moze,Justin Bieber Flame,Green Hoodie,Double Eyes,Close Teeth,Rubber Bracelet Hat
14,Moze #14,Rooted in street art!,14.png,Flaming Red,Moze,Blank,Suit Up,Mummy Eyes,Happy Mouth,Blank#10
15,Moze #15,Rooted in street art!,15.png,Station,Moze,Doll,Graffiti Suit,Spirally Googles,Dragon Breath,Monkey King Headband
16,Moze #16,Rooted in street art!,16.png,Tosca,Moze,Fire,Sphinx Necklace Final Boss,Beaten Eyes,Clown Mouth,Green Ears
17,Moze #17,Rooted in street art!,17.png,Green,Moze,Leopard,Dragon Custom,Hunter Eyes,Bandana Mouth Punk,Absolute King Crown
18,Moze #18,Rooted in street art!,18.png,Cream Puff,Moze,Leopard,Baseball Green Jacket,Pink Sparkly Eyes,Punk Mouth,Graffiti Tattoo#1
19,Moze #19,Rooted in street art!,19.png,Cream Puff,Moze,Blank,Graffiti Suit,Spirally Googles,Close Teeth,Checkerboard Ear
20,Moze #20,Rooted in street art!,20.png,Jeans,Moze,Ifrit Jambe,Worker Suit,X Eyes,Simple Smile Mouth,Red Hair Hat
21,Moze #21,Rooted in street art!,21.png,Grey,Moze,Leopard,Baseball Green Jacket,Looking At Eyes,Plaster Mouth Close,Nihilsm
22,Moze #22,Rooted in street art!,22.png,Sprout,Moze,Doll,Designer Suit,X Eyes,Cigar Mouth,Monkey King Headband
23,Moze #23,Rooted in street art!,23.png,Olive Jar,Moze,Doll,X-Rays Body,Killer Eyes,Tongue Out,Rubber Bracelet Hat
24,Moze #24,Rooted in street art!,24.png,Ocean,Moze,Fire,Boxer Glove,Looking At Eyes,Ninja Mask,Nihilsm
25,Moze #25,Rooted in street art!,25.png,Red,Moze,Thunder,Casual Blue Bear,X Eyes,Happy Mouth,Pink Blossom Hair
26,Moze #26,Rooted in street art!,26.png,Grey,Moze,Thunder,Evil Mage Custom,Double Eyes,Simple Smile Mouth,Blank#10
27,Moze #27,Rooted in street art!,27.png,Park,Moze,Hellheim Mark,Jail Punisher Suit,Double Eyes,Eat Pizza,Bubble Hat
28,Moze #28,Rooted in street art!,28.png,Neon,Moze,Justin Bieber Flame,Gray Sweater,Beaten Eyes,Clown Mouth,Monkey King Headband
29,Moze #29,Rooted in street art!,29.png,Park,Moze,Hellheim Mark,Jail Punisher Suit,Mummy Eyes,Dragon Breath,Horn Blue Devil
30,Moze #30,Rooted in street art!,30.png,Lavender Haze,Moze,Hellheim Mark,Suit Up,Thinking Eyes,Bandana Mouth Punk,Red Hair Hat
